Running log until ^C
Timestamp                       Thread     Type        Activity             PID    TTL  
2024-03-25 07:38:12.554663-0700 0x29e4306  Activity    0x364e665            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:12.554688-0700 0x29e4306  Activity    0x364e666            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:12.554712-0700 0x29e4306  Activity    0x364e667            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:12.554734-0700 0x29e4306  Activity    0x364e668            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:12.554801-0700 0x29e4306  Activity    0x364e669            48564  0    locationd: CL: notifyClientsWithData (Fallback)
2024-03-25 07:38:12.555378-0700 0x2982d45  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxClient, Fix, 1, ll, 37.7858340, -122.4064170, acc, 5.00, speed, -1.0, course, -1.0, type, 1, alt, 0.0, altunc, -1.0,ellipsoidalAlt,0.0,speedUnc,-1.0,courseUnc,-1.0,signalEnv,0,timestamp,733070292.554
2024-03-25 07:38:12.555823-0700 0x29a39a9  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Core:Core] {"msg":"#pla #zone-relevance-tracker, location notification", "notification":5, "_currentLocation":'00 00 00 00 FF FF 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 14 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 9D D9 C6 E9 E1 D8 C5 41 64 00 00 00 00 00 00 00 00 00 F0 BF 01 00 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 F0 BF FF FF FF 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00', "NewLocation":'00 00 00 00 FF FF 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 14 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 00 00 00 00 00 00 F0 BF 27 F8 46 EA E1 D8 C5 41 64 00 00 00 00 00 00 00 00 00 F0 BF 01 00 00 00 DD 0A 61 35 96 E4 42 40 76 E2 72 BC 02 9A 5E C0 00 00 00 00 00 00 F0 BF FF FF FF 7F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00'}
2024-03-25 07:38:12.555827-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Position:GeneralCLX] MovingApDetector, received location: lat, 37.78583400, lon, -122.40641700, alt, 0.0, acc, 5.0, vacc, -1.0, timestamp, 733070292.6, age, 0.0, type, 1, success: yes
2024-03-25 07:38:12.557416-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x700000a32778) wifi1Event
2024-03-25 07:38:12.557459-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2024-03-25 07:38:12.557590-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":684385038733413, "end_mach":684385038829194, "elapsed_s":"0.000095781", "event":System::LeechLocation, "now_s":"733070292.557484031"}
2024-03-25 07:38:12.557703-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x700000a32778) wifi1Event
2024-03-25 07:38:12.557772-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x700000a32778) wifi1Event
2024-03-25 07:38:12.557854-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2024-03-25 07:38:12.558058-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":684385039195293, "end_mach":684385039296611, "elapsed_s":"0.000101318", "event":System::LeechLocation, "now_s":"733070292.557947040"}
2024-03-25 07:38:12.558223-0700 0x29dc48a  Default     0x364e663            48564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x700000a32778) wifi1Event
2024-03-25 07:38:12.652681-0700 0x29830cb  Default     0x0                  48542  0    UserEventAgent: (com.apple.cts) [com.apple.xpc.activity:Activities] Initiating: com.apple.cs.postinstall (0x10ba071f0)
2024-03-25 07:38:12.652759-0700 0x29830cb  Default     0x0                  48542  0    UserEventAgent: (libxpc.dylib) [com.apple.xpc:connection] [0x10ba07300] Channel could not return listener port.
2024-03-25 07:38:12.663511-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_dispatch: beginning dispatch, activity name com.apple.cs.postinstall, seqno 1
2024-03-25 07:38:12.663635-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_dispatch: com.apple.cs.postinstall (0x600003304000): found an activity with matching seqno 1
2024-03-25 07:38:12.663717-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_begin_running: com.apple.cs.postinstall (0x600003304000) seqno: 1.
2024-03-25 07:38:12.664066-0700 0x29830cb  Default     0x0                  48542  0    UserEventAgent: (com.apple.cts) [com.apple.xpc.activity:Activities] Running (PID 48643): com.apple.cs.postinstall (0x10ba071f0)
2024-03-25 07:38:12.663784-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_dispatch: lower half, activity name com.apple.cs.postinstall (0x600003304000), seqno from top half was 1
2024-03-25 07:38:12.663833-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc:connection] [0x10e704470] Channel returned listener port: 0x5d03
2024-03-25 07:38:12.663874-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_set_state: com.apple.cs.postinstall (0x600003304000), 2
2024-03-25 07:38:12.663912-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_set_state: send new state to CTS: com.apple.cs.postinstall (0x600003304000), 2
2024-03-25 07:38:12.664194-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_set_state_from_cts: com.apple.cs.postinstall (0x600003304000), set activity state to 2
2024-03-25 07:38:12.664283-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] __XPC_ACTIVITY_CALLING_HANDLER__: com.apple.cs.postinstall (0x600003304000), current state 2, pending state 0
2024-03-25 07:38:12.664339-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: [com.apple.corespeech:Framework] -[CSPostBuildInstallService registerPostBuildInstallService]_block_invoke Received event for XPC activity: <xpc object> in state: 2
2024-03-25 07:38:12.664445-0700 0x29deefc  Default     0x0                  48643  0    corespeechd: (libxpc.dylib) [com.apple.xpc.activity:Client] _xpc_activity_set_state: com.apple.cs.postinstall (0x600003304000), 3
